NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",alae,alae,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001a,04.115,self,"diri , sendiri",mboto  alae mboto,mboto  alae mboto p20,Ampi,Ampibabo,120.0659,-0.4526,,True,,,True,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0002,04.200,head,kepala,ba'i,ba'i  SDL: bai  SDL: ubai  p39,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0002,04.200,head,kepala,bai,ba'i  SDL: bai  SDL: ubai  p39,Ampi,Sidole,120.0356,-0.4768,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0002,04.200,head,kepala,ubai,ba'i  SDL: bai  SDL: ubai  p39,Ampi,Sidole,120.0356,-0.4768,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003a,04.206,"skin (head, not body)",kulit kepala,'uli nu ba'i,'uli nu ba'i,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,totola,totola -nyo  (depan),Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-nyo  ,,(depan),,,noun,,,,,0.0,0.0,,,
0004,04.203,brain,otak,ota',ota',Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,luba',luba' -onyo,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,-onyo,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005a,04.141,"gray hair (head, not body)",uban,gulang,gulang,Ampi,Ampibabo,120.0659,-0.4526,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
