NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",batangan E,"batangan E, 'alaë -nye",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",'alaë,"batangan E, 'alaë -nye",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0002,04.200,head,kepala,ba'i,ba'i -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",bëlingka nu ba'i,bëlingka nu ba'i  +IPG,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,totola,"totola ~, gimu'ud ~",Lauje,Bou,120.0175,0.6603,,False,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,gimu'ud,"totola ~, gimu'ud ~",Lauje,Bou,120.0175,0.6603,,False,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0004,04.203,brain,otak,uto' E,uto' E -onye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-onye,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,luba' E,luba' E  -onye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-onye,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0006,04.205,forehead,dahi,baya,baya  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
0007,04.201,temple,pelipis,gigising E,"gigising E, pampailang E =04.208",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0007,04.201,temple,pelipis,pampailang E,"gigising E, pampailang E =04.208",Lauje,Bou,120.0175,0.6603,,True,,,False,=04.208,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0008,04.204,face,"muka, wajah",laku,laku  -nye [1. baya],Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye ,[1. baya],,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0009,04.210,eye,mata,mata,mata,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0011,008,96.0,45.0,C118 D39 E110 F109 G118,40.0,39.0
0010,04.216,eyeball,biji mata ->08.311,boas u mata,boas u mata,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,,noun,,anggota tubuh,,009,0.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",'ingkilap E,'ingkilap E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0012,04.214,eyelashes,bulu mata,Buo' u mata,Buo' u mata,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0013,011,98.0,0.0,,,
0013,16.380,tear (from crying),air mata,juu nu mata,"juu nu mata, bibi nu mata",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,body,noun,,anggota tubuh,0016/17,012,303.0,0.0,,,
0013,16.380,tear (from crying),air mata,bibi nu mata,"juu nu mata, bibi nu mata",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,body,noun,,anggota tubuh,0016/17,012,303.0,0.0,,,
0014,04.213,eyelid,kelopak mata,babo' u mata,babo' u mata  [báubo],Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,[báubo],,,bodyparts,noun,,,0012,,0.0,0.0,,,
0015,04.220,ear,telinga,tuli' E,tuli' E  -onye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-onye,,,,bodyparts,noun,,anggota tubuh,0009,022,85.0,43.0,C117 D38 E109 F115 G124,39.0,35.0
0016,04.222,earwax,tahi telinga,sanggal u tuli' E,sanggal u tuli' E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,,0010,,0.0,0.0,,,
0017,04.240,mouth,mulut,ngunju,ngunju  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0022,017*,187.0,30.0,C120 D41 E112 F111 G120,42.0,98.0
0018,04.250,lip,bibir,bibi,bibi  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0025/26,018*,168.0,0.0,C121 E113 F112 G121,,
0019,04.260,tongue,lidah,oyo,oyo [ngoyo]  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,[ngoyo],,,bodyparts,noun,,anggota tubuh,0031,019,323.0,32.0,C123 D43 E115 F114 G123,44.0,172.0
0020,04.270,tooth,gigi,ngisi,ngisi  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0033,020,304.0,31.0,C122 D42 E114 F113 G122,43.0,173.0
0021,04.230,nose,hidung,ëngë,ëngë  [nuëngë wenge],Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,[nuëngë wenge],,,bodyparts,noun,,anggota tubuh,0018,014,200.0,27.0,C119 D40 E111 F110 G119,41.0,106.0
0022,04.231,nostril,lubang hidung,lulu nu ëngë,lulu nu ëngë,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,,0019,,0.0,0.0,,,
0023,04.208,cheek,pipi,papë,"papë  -nye, pampailang E ->04.201",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0021,015,45.0,0.0,,,
0023,04.208,cheek,pipi,pampailang E,"papë  -nye, pampailang E ->04.201",Lauje,Bou,120.0175,0.6603,,True,,,False,->04.201,,,,,bodyparts,noun,,anggota tubuh,0021,015,45.0,0.0,,,
0024,04.168,cheekbone,tulang pipi,bu'u mpampailang,bu'u mpampailang,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,,noun,,anggota tubuh,,016,0.0,0.0,,,
0025,04.209,chin,dagu,ngaje,ngaje  -nye,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0029,021,49.0,0.0,,,
0026,04.370,"foot, leg",kaki,paa,"paa  -nye, biis E",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,-nye,,,,bodyparts,noun,,anggota tubuh,0086,038,162.0,4.0,C125 D45 E117 F121 G130,46.0,55.0
0026,04.370,"foot, leg",kaki,biis E,"paa  -nye, biis E",Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0086,038,162.0,4.0,C125 D45 E117 F121 G130,46.0,55.0
0027,04.380,toe,jari kaki,Bua nu paa,Bua nu paa,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0106,046,321.0,0.0,,,
0028,04.373,sole of the foot,tapak kaki,'obal E,'obal E,Lauje,Bou,120.0175,0.6603,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0087,044,275.0,0.0,,,
