NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",'alae,"'alae *w 93/14, batangan ""tubuh"" p7  +DMB",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,*w,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",batangan,"'alae *w 93/14, batangan ""tubuh"" p7  +DMB",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,"""tubuh""",,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0002,04.200,head,kepala,ba'i,ba'i  +DMB,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",balingka ba'i,"balingka ba'i, DMB: di'ulas",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",di'ulas,"balingka ba'i, DMB: di'ulas",Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,bubuan,bubuan  93/d,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0004,04.203,brain,otak,gito',"gito' -onya, DMB: uto' -onya",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,-onya,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0004,04.203,brain,otak,uto',"gito' -onya, DMB: uto' -onya",Dampelas,Dampla in Bangkir,120.2287,0.7803,,True,,,False,nan,-onya,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,ba'i,"ba'i   +DMB, bulu ba'i",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005,04.140,"hair (head, not body)",rambut  ->04.144,bulu ba'i,"ba'i   +DMB, bulu ba'i",Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005a,04.141,"gray hair (head, not body)",uban,gurang,gurang  93/d,Dampelas,Talaga,119.8558,0.1985,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
