NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",batangan,"batangan   +DLU +OYM +BBA~ +SLG~ +BOD~, DLU: alae ~ +BBA~",Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",alae,"batangan   +DLU +OYM +BBA~ +SLG~ +BOD~, DLU: alae ~ +BBA~",Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0002,04.200,head,kepala,bai,bai / ba'i -nyo   +OYM +DLU +BBA~ +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0002,04.200,head,kepala,ba'i,bai / ba'i -nyo   +OYM +DLU +BBA~ +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,-nyo       ,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",boLingas,"boLingas  +BOD~, SLG: tongkulang ~",Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",tongkulang,"boLingas  +BOD~, SLG: tongkulang ~",Dondo,Salugan,120.8462,0.9142,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003a,04.206,"skin (head, not body)",kulit kepala,'uLimbang,'uLimbang 'V- 93,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,'V- 93,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,,,
0004,04.203,brain,otak,uto',uto'  -onyo 'V- 93   +DLU [h] +BBA~ +SLG~ +OYM +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,-onyo 'V-       ,[h],,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,luba' E,luba' E -onyo   +DLU +SLG~ +OYM  +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,-onyo       ,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005a,04.141,"gray hair (head, not body)",uban,uban E,uban E 'V- 93,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,'V- 93,,,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
0006,04.205,forehead,dahi,baya,baya -nyo   +DLU +BBA~ +SLG~ +OYM +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,-nyo       ,,,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
0007,04.201,temple,pelipis,gigisingan,gigisingan /E   +DLU +BBA~ +SLG~ OYM: gisinganE  BOD: gigising~,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0007,04.201,temple,pelipis,E       gisinganE,gigisingan /E   +DLU +BBA~ +SLG~ OYM: gisinganE  BOD: gigising~,Dondo,Oyom,120.8834,0.9103,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0007,04.201,temple,pelipis,gigising,gigisingan /E   +DLU +BBA~ +SLG~ OYM: gisinganE  BOD: gigising~,Dondo,Boangin,120.3017,0.84,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0008,04.204,face,"muka, wajah",ngunju,"ngunju -nyo   +DLU +SLG~ +OYM, BOD: rupa -nyo ~",Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,-nyo     ,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0008,04.204,face,"muka, wajah",rupa,"ngunju -nyo   +DLU +SLG~ +OYM, BOD: rupa -nyo ~",Dondo,Boangin,120.3017,0.84,,False,,,False,nan,-nyo ,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0009,04.210,eye,mata,mata,mata   +DLU +SLG~ +OYM +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0011,008,96.0,45.0,C118 D39 E110 F109 G118,40.0,39.0
0010,04.216,eyeball,biji mata ->08.311,dampëang u mata,dampëang u mata   DLU: dampe u mata +BBA~ +BOD~,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,,noun,,anggota tubuh,,009,0.0,0.0,,,
0010,04.216,eyeball,biji mata ->08.311,dampe u mata,dampëang u mata   DLU: dampe u mata +BBA~ +BOD~,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,,,,,,noun,,anggota tubuh,,009,0.0,0.0,,,
0010a,04.217,pupil (eye),manik mata,too nu mata,too nu mata~/ u tou mata,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0010a,04.217,pupil (eye),manik mata,u tou mata,too nu mata~/ u tou mata,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0010b,04.218,mote in eye,sebutir debu di mata,pa'atu,pa'atu (?),Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,(?),,,noun,,,,,0.0,0.0,Z4.21A,,
0011,04.212,eyebrow,"kening, alis mata",'ingkilap,'ingkilap / ingkilap / ngkilap E  'V-   +DLU +BBA~ +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",ingkilap,'ingkilap / ingkilap / ngkilap E  'V-   +DLU +BBA~ +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",ngkilap E,'ingkilap / ingkilap / ngkilap E  'V-   +DLU +BBA~ +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,'V-      ,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0012,04.214,eyelashes,bulu mata,buo mata,buo mata  DLU: buo' u mata [b] +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0013,011,98.0,0.0,,,
0012,04.214,eyelashes,bulu mata,buo' u mata,buo mata  DLU: buo' u mata [b] +SLG~ +BOD~,Dondo,Dulu/Lakatan,120.84,1.0944,,False,,,False,nan,,[b],,,bodyparts,noun,,anggota tubuh,0013,011,98.0,0.0,,,
0013,16.380,tear (from crying),air mata,juug u mata,juug u mata   +DLU~ +SLG~ +BOD~,Dondo,Malomba,120.4657,0.7766,,False,,,False,nan,,,,,body,noun,,anggota tubuh,0016/17,012,303.0,0.0,,,
0014,04.213,eyelid,kelopak mata,baa' u mata,baa' u mata,Dondo,Malomba,120.4657,0.7766,,True,,,False,nan,,,,,bodyparts,noun,,,0012,,0.0,0.0,,,
