NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",batangan,"batangan   +BBG, 'alaë  'V- 93V +SBG, sangkalayang",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",'alaë,"batangan   +BBG, 'alaë  'V- 93V +SBG, sangkalayang",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V- ,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",sangkalayang,"batangan   +BBG, 'alaë  'V- 93V +SBG, sangkalayang",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001a,04.115,self,"diri , sendiri",batangan,batangan,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,True,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0002,04.200,head,kepala,ba'i,"ba'i   -ang ""paling atas""    +SBG +BBG [']",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,-ang       ,['],"""paling atas""",,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",balingkas,"balingkas, BBG: totola ['] (?), IPG: bëlingka nu ba'i",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",totola,"balingkas, BBG: totola ['] (?), IPG: bëlingka nu ba'i",Lauje,Bambanong,120.3348,0.7818,,True,,,False,nan,,['],(?),,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",bëlingka nu ba'i,"balingkas, BBG: totola ['] (?), IPG: bëlingka nu ba'i",Lauje,Inapasang,120.4284,0.7507,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003a,04.206,"skin (head, not body)",kulit kepala,'ungkul u ba'i,'ungkul u ba'i   93/5  93V,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,gimu'ud,gimu'ud  p48,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0004,04.203,brain,otak,uto',uto' [h]  'V- -onye 93V  +SBG +BBG [nutó'o],Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V- -onye    ,"[h]', ""[nutó'o]",,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,luba' E,luba' E -onye  +SBG +IPG +BBG [lúba'a],Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,-onye     ,[lúba'a],,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005a,04.141,"gray hair (head, not body)",uban,ubang,ubang [h]   93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[h],,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
0005b,04.145,curly hair,"rambut keriting, ikal",Bulinsing,"Bulinsing me-, purusinsing mo-, koromu'ud mo- 93/49",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,me-,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,Z4.14R,,
0005b,04.145,curly hair,"rambut keriting, ikal",purusinsing,"Bulinsing me-, purusinsing mo-, koromu'ud mo- 93/49",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,mo-,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,Z4.14R,,
0005b,04.145,curly hair,"rambut keriting, ikal",koromu'ud,"Bulinsing me-, purusinsing mo-, koromu'ud mo- 93/49",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,mo- ,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,Z4.14R,,
0006,04.205,forehead,dahi,baya,baya -nye    +SBG +IPG +BBG ['],Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,-nye       ,['],,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
0007,04.201,temple,pelipis,pampailang,"pampailang  (includes lower jaw) =04.208 93/11, BBG: gigising  +SBG",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=04.208,,,(includes lower jaw),,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0007,04.201,temple,pelipis,gigising,"pampailang  (includes lower jaw) =04.208 93/11, BBG: gigising  +SBG",Lauje,Bambanong,120.3348,0.7818,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0008,04.204,face,"muka, wajah",laku,"laku, BBG: rupa [']  +KAL +IPG +SBG",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0008,04.204,face,"muka, wajah",rupa,"laku, BBG: rupa [']  +KAL +IPG +SBG",Lauje,Bambanong,120.3348,0.7818,,True,,,False,nan,,['],,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0009,04.210,eye,mata,mata,mata  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0011,008,96.0,45.0,C118 D39 E110 F109 G118,40.0,39.0
0010,04.216,eyeball,biji mata ->08.311,dampë mata,dampë mata/nu mata,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,noun,,anggota tubuh,,009,0.0,0.0,,,
0010,04.216,eyeball,biji mata ->08.311,nu mata,dampë mata/nu mata,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,noun,,anggota tubuh,,009,0.0,0.0,,,
0010a,04.217,pupil (eye),manik mata,boas u mata,boas u mata  93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0010b,04.218,mote in eye,sebutir debu di mata,miming,miming  93/49,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,Z4.21A,,
0011,04.212,eyebrow,"kening, alis mata",'engkilap,"'engkilap 'V- 93V, SBG: 'ingkilap ~",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V- ,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",'ingkilap,"'engkilap 'V- 93V, SBG: 'ingkilap ~",Lauje,Sigumbang,120.2423, 0.7321,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0012,04.214,eyelashes,bulu mata,Buo' u mata,Buo' u mata [F]  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[F],,,bodyparts,noun,,anggota tubuh,0013,011,98.0,0.0,,,
0013,16.380,tear (from crying),air mata,juu nu mata,juu nu mata  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,body,noun,,anggota tubuh,0016/17,012,303.0,0.0,,,
0015,04.220,ear,telinga,tuli',tuli'  -onye  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,-onye  ,,,,bodyparts,noun,,anggota tubuh,0009,022,85.0,43.0,C117 D38 E109 F115 G124,39.0,35.0
0015a,04.221,ear lobe,cuping,dalom tuli',dalom tuli'  95/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0016,04.222,earwax,tahi telinga,sanggal u tuli',sanggal u tuli' /I,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,0010,,0.0,0.0,,,
0016,04.222,earwax,tahi telinga,I,sanggal u tuli' /I,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,0010,,0.0,0.0,,,
0016a,04.225,disease of the ear,sakit telinga (air busuk keluar),tontóulig,tontóulig   93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0017,04.240,mouth,mulut,ngunju,ngunju ~  +SBG +KAL,Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0022,017*,187.0,30.0,C120 D41 E112 F111 G120,42.0,98.0
0017a,04.242,"mouth: oral cavity, oropharynx",mulut (dalam) terbuka,nganga,nganga  +KAL,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0024,,0.0,0.0,,,
0018,04.250,lip,bibir,bibi,bibi  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0025/26,018*,168.0,0.0,C121 E113 F112 G121,,
0019,04.260,tongue,lidah,oyo,oyo [h] 'V- 93V  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-  ,[h],,,bodyparts,noun,,anggota tubuh,0031,019,323.0,32.0,C123 D43 E115 F114 G123,44.0,172.0
0020,04.270,tooth,gigi,ngisi,ngisi  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0033,020,304.0,31.0,C122 D42 E114 F113 G122,43.0,173.0
0021,04.230,nose,hidung,ëngë,ëngë [h] 'V-  u=  +SBG 93V,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-  u=   ,[h],,,bodyparts,noun,,anggota tubuh,0018,014,200.0,27.0,C119 D40 E111 F110 G119,41.0,106.0
0022,04.231,nostril,lubang hidung,lulu nu ëngë,lulu nu ëngë,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,0019,,0.0,0.0,,,
0022a,04.234,wall/side of the nose,cuping hidung,bangkang u enge,bangkang u enge  93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0022b,04.235,bone of the nose,tulang hidung,Bu'u nu enge,Bu'u nu enge  93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0022c,04.233,tip of the nose,ujung hidung,tampa' u enge,tampa' u enge  =12.353  93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,=12.353,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0023,04.208,cheek,pipi,papë,"papë, pampailang (bagian bawah)  +IPG +KAL +SBG",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0021,015,45.0,0.0,,,
0023,04.208,cheek,pipi,pampailang,"papë, pampailang (bagian bawah)  +IPG +KAL +SBG",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,(bagian bawah),,bodyparts,noun,,anggota tubuh,0021,015,45.0,0.0,,,
0024,04.168,cheekbone,tulang pipi,Bu'u nu papë,Bu'u nu papë  [F],Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[F],,,,noun,,anggota tubuh,,016,0.0,0.0,,,
0025,04.209,chin,dagu,ngaje,ngaje  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0029,021,49.0,0.0,,,
0026,04.370,"foot, leg",kaki,biis,"biis, GLJ: bibis   +BBG +SBG +KAL +IPG",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0086,038,162.0,4.0,C125 D45 E117 F121 G130,46.0,55.0
0026,04.370,"foot, leg",kaki,bibis,"biis, GLJ: bibis   +BBG +SBG +KAL +IPG",Lauje,Inner Hill (Gunung),Inner Hill (Gunung),Inner Hill (Gunung),,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0086,038,162.0,4.0,C125 D45 E117 F121 G130,46.0,55.0
0027,04.380,toe,jari kaki,Bua nu biis,Bua nu biis [F],Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[F],,,bodyparts,noun,,anggota tubuh,0106,046,321.0,0.0,,,
0028,04.373,sole of the foot,tapak kaki,'obal E,'obal E 'V- 93V  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-  ,,,,bodyparts,noun,,anggota tubuh,0087,044,275.0,0.0,,,
0029,04.360,knee,lutut,tu'u,tu'u  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0091,041,154.0,0.0,C126 D46 E118 F122 G131 Sa92,47.0,
0030,04.362,"popliteal space, back of the knee#",(pe)lipatan lutut,alingkot,alingkot [h] 'V- 93V  +SBG +IPG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-   ,[h],,,bodyparts,noun,,anggota tubuh,0092,042*,0.0,0.0,,,
0030a,04.363,knee cap,tempurung lutut,Bulang u tu'u,Bulang u tu'u,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",lolosunang,"lolosunang, IPG: lolotang",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",lolotang,"lolosunang, IPG: lolotang",Lauje,Inapasang,120.4284,0.7507,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031a,04.376,ankle,"mata kaki, buku lali",Bu'untuling,Bu'untuling  93/5,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,,,,,,0.0,0.0,,,
0032,04.372,heel,tumit,tulë,tulë  [']  +SBG +KAL,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,['],,,bodyparts,noun,,anggota tubuh,0089,045,138.0,0.0,,,
0033,04.330,hand,tangan,lima,"lima  ['], IPG: 'umbung   +KAL +SBG: 'umbu~",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,['],,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0033,04.330,hand,tangan,'umbung,"lima  ['], IPG: 'umbung   +KAL +SBG: 'umbu~",Lauje,Inapasang,120.4284,0.7507,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0033,04.330,hand,tangan,'umbu,"lima  ['], IPG: 'umbung   +KAL +SBG: 'umbu~",Lauje,Sigumbang,120.2423, 0.7321,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0034,04.331,palm of the hand,tapak tangan,palë,"palë  moN-~ RDP1~  ""berdoa""  93  +SBG",Lauje,Palasa/Tinombo,120.2869,0.3892,,False,,,False,nan,moN- RDP1    ,,"""berdoa""",,bodyparts,noun,,anggota tubuh,0102,028,210.0,0.0,,,
0035,12.541,span (eight inches),jengkal,jangan sanjangan,jangan sanjangan  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,,,,anggota tubuh,,029,279.0,0.0,,,
0036,04.340,finger,jari,Bua nu lima,"Bua nu lima  [F], BBG: 'umbung, IPG: bua nu 'umbung  +SBG: bua nu 'umbu~",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[F],,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0036,04.340,finger,jari,'umbung,"Bua nu lima  [F], BBG: 'umbung, IPG: bua nu 'umbung  +SBG: bua nu 'umbu~",Lauje,Bambanong,120.3348,0.7818,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0036,04.340,finger,jari,bua nu 'umbung,"Bua nu lima  [F], BBG: 'umbung, IPG: bua nu 'umbung  +SBG: bua nu 'umbu~",Lauje,Inapasang,120.4284,0.7507,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0036,04.340,finger,jari,bua nu 'umbu,"Bua nu lima  [F], BBG: 'umbung, IPG: bua nu 'umbung  +SBG: bua nu 'umbu~",Lauje,Sigumbang,120.2423, 0.7321,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0037,04.342,thumb,ibu jari,siina nu lima,"siina nu lima, IPG: siina nu 'umbung  +SBG: siina nu 'umbu~",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0108,031,0.0,0.0,,,
0037,04.342,thumb,ibu jari,siina nu 'umbung,"siina nu lima, IPG: siina nu 'umbung  +SBG: siina nu 'umbu~",Lauje,Inapasang,120.4284,0.7507,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0108,031,0.0,0.0,,,
0037,04.342,thumb,ibu jari,siina nu 'umbu,"siina nu lima, IPG: siina nu 'umbung  +SBG: siina nu 'umbu~",Lauje,Sigumbang,120.2423, 0.7321,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0108,031,0.0,0.0,,,
0038,04.343,"pinky, little finger",jari kelingking,'alinsing,'alinsing 'V- 93V  +IPG +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-   ,,,,bodyparts,noun,,anggota tubuh,0112,032,0.0,0.0,,,
0039,04.344,fingernail,kuku jari,'umbung,"'umbung 'V-  93V, GLJ: tatapod E =12.050  93/5  +IPG [tatápodo]  +BBG [tápodo]  +KAL, KAL: banga nu 'umbung  ~ +SBG: banga nu 'umbu~",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-  ,,,,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0039,04.344,fingernail,kuku jari,tatapod E,"'umbung 'V-  93V, GLJ: tatapod E =12.050  93/5  +IPG [tatápodo]  +BBG [tápodo]  +KAL, KAL: banga nu 'umbung  ~ +SBG: banga nu 'umbu~",Lauje,Inner Hill (Gunung),Inner Hill (Gunung),Inner Hill (Gunung),,True,,,False,=12.050,,"[tatápodo]', '[tápodo]",,,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0039,04.344,fingernail,kuku jari,banga nu 'umbung,"'umbung 'V-  93V, GLJ: tatapod E =12.050  93/5  +IPG [tatápodo]  +BBG [tápodo]  +KAL, KAL: banga nu 'umbung  ~ +SBG: banga nu 'umbu~",Lauje,Koala Lais (Lauje),120.4126,0.7643,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0039,04.344,fingernail,kuku jari,banga nu 'umbu,"'umbung 'V-  93V, GLJ: tatapod E =12.050  93/5  +IPG [tatápodo]  +BBG [tápodo]  +KAL, KAL: banga nu 'umbung  ~ +SBG: banga nu 'umbu~",Lauje,Sigumbang,120.2423, 0.7321,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0107,033,111.0,0.0,C124 D44 E116 F120 G129,,
0040,04.320,elbow,siku,si'u,si'u  +SBG +IPG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0100,026,94.0,0.0,,,
0041,04.310,arm,lengan,'ongkong,'ongkong 'V- 93V  +SBG +IPG +KAL,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,'V-    ,,,,bodyparts,noun,,,0095,,0.0,0.0,,,
0042,04.400,chest,dada,dodob,dodob [^b]  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,[^b],,,bodyparts,noun,,anggota tubuh,0041/42,035,46.0,0.0,,,
0043,04.410,breast,"susu, buah dada",susu,susu  +SBG,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0044,036*,34.0,18.0,C130 D50 E122 G126 Sa18,51.0,
0044,04.412,nipple,puting susu,ba'i nu susu,ba'i nu susu,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,,0045,,0.0,0.0,,,
0045,04.411,suck at the breast,susu  menyusu,susu,susu moN%n- no--i,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,moN%n- no--i,,,,body,intr,action,,0048,,0.0,0.0,,,
0046,04.415,milk,air susu,juu nu susu,juu nu susu,Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,body,noun,mass,,0046,,0.0,0.0,,,
0047,04.280,neck,leher,tonuBu,"tonuBu, IPG: bolongko' ~  +SBG",Lauje,Palasa/Tinombo,120.2869,0.3892,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0038,023*,192.0,25.0,C129 D49 E121 F116 G125,50.0,103.0
