NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",alae,"alae  -nyo, BGL: batangan  ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,-nyo,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",batangan,"alae  -nyo, BGL: batangan  ~",Pendau,Bigalo,120.3010,0.9709,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0002,04.200,head,kepala,ba'i,ba'i -nyo   +BGL +BOA +KNI,Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,-nyo     ,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",dingkulas,"dingkulas,  BGL: balingas ba'i  ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",,"dingkulas,  BGL: balingas ba'i  ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",balingas ba'i,"dingkulas,  BGL: balingas ba'i  ~",Pendau,Bigalo,120.3010,0.9709,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0004,04.203,brain,otak,uto',uto' [w] -onyo  +BGL~ +SRU,Pendau,Parisan,119.9267,0.1552,,False,,,False,nan,-onyo   ,[w],,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,luba',luba' -onyo   +BGL +BOA +KNI,Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,-onyo     ,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0006,04.205,forehead,dahi,baya,baya -nyo +BGL,Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,-nyo ,,,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
0007,04.201,temple,pelipis,patiga,"patiga -nyo (?),  BGL: gigising   ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,-nyo ,,(?),,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0007,04.201,temple,pelipis,,"patiga -nyo (?),  BGL: gigising   ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0007,04.201,temple,pelipis,gigising,"patiga -nyo (?),  BGL: gigising   ~",Pendau,Bigalo,120.3010,0.9709,,False,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0008,04.204,face,"muka, wajah",lio,"lio -nyo,  BOA/KNI: rupa -nyo ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,-nyo,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0008,04.204,face,"muka, wajah",+BOA,"lio -nyo,  BOA/KNI: rupa -nyo ~",Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0008,04.204,face,"muka, wajah",rupa,"lio -nyo,  BOA/KNI: rupa -nyo ~",Pendau,Koni,120.3154,0.9476,,False,,,False,nan,-nyo ,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0009,04.210,eye,mata,mata,mata  +BOA +KNI,Pendau,Parisan,119.9267,0.1552,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0011,008,96.0,45.0,C118 D39 E110 F109 G118,40.0,39.0
