NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",alae,alae,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001a,04.115,self,"diri , sendiri",mboto,mboto  p7,Taje,Tanampedagi,120.0116,-0.4904,,True,,,True,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0002,04.200,head,kepala,vai,vai,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",bolobo,bolobo,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003a,04.206,"skin (head, not body)",kulit kepala,vuringis,vuringis,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,tombaomba,"tombaomba -nya, totora -nya (belakang)",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,,noun,,,,,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,totora,"tombaomba -nya, totora -nya (belakang)",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya ,,(belakang),,,noun,,,,,0.0,0.0,,,
0004,04.203,brain,otak,uto,uto,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,vuvut,vuvut  -nya  p89,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya  ,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005a,04.141,"gray hair (head, not body)",uban,gurang,gurang / gura -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
0005a,04.141,"gray hair (head, not body)",uban,gura,gurang / gura -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
0006,04.205,forehead,dahi,lio,lio,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
0007,04.201,temple,pelipis,kasumpi,kasumpi -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,,013,0.0,0.0,,,
0008,04.204,face,"muka, wajah",lenje,lenje  p31,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0003,006*,99.0,0.0,C133 E124 F108 G117,,
0009,04.210,eye,mata,mata,mata  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0011,008,96.0,45.0,C118 D39 E110 F109 G118,40.0,39.0
0010,04.216,eyeball,biji mata ->08.311,vuu nu mata,vuu nu mata,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,noun,,anggota tubuh,,009,0.0,0.0,,,
0010a,04.217,pupil (eye),manik mata,mata vuring,mata vuring / vuring-nya  p86,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,noun,,,,,0.0,0.0,,,
0010a,04.217,pupil (eye),manik mata,,mata vuring / vuring-nya  p86,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,vuring-nya  ,,,,,noun,,,,,0.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",engkilap,engkilap / ingkilap  -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0011,04.212,eyebrow,"kening, alis mata",ingkilap,engkilap / ingkilap  -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0015,010*,97.0,0.0,,,
0012,04.214,eyelashes,bulu mata,vulu,vulu -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0013,011,98.0,0.0,,,
0013,16.380,tear (from crying),air mata,ju nu mata,ju nu mata,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,body,noun,,anggota tubuh,0016/17,012,303.0,0.0,,,
0015,04.220,ear,telinga,talinga,talinga  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0009,022,85.0,43.0,C117 D38 E109 F115 G124,39.0,35.0
0015a,04.221,ear lobe,cuping,tampa,tampa -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,,noun,,,,,0.0,0.0,,,
0016,04.222,earwax,tahi telinga,tai ntuli,tai ntuli,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,,0010,,0.0,0.0,,,
0016a,04.225,disease of the ear,sakit telinga (air busuk keluar),ulig,ulig  -nya/-inya p91,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,,,,0.0,0.0,,,
0016a,04.225,disease of the ear,sakit telinga (air busuk keluar),,ulig  -nya/-inya p91,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-inya ,,,,bodyparts,noun,,,,,0.0,0.0,,,
0017,04.240,mouth,mulut,ngunju,ngunju  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0022,017*,187.0,30.0,C120 D41 E112 F111 G120,42.0,98.0
0017a,04.242,"mouth: oral cavity, oropharynx",mulut (dalam) terbuka,nganga,nganga,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0024,,0.0,0.0,,,
0018,04.250,lip,bibir,vivi,vivi,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0025/26,018*,168.0,0.0,C121 E113 F112 G121,,
0019,04.260,tongue,lidah,oyo,oyo,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0031,019,323.0,32.0,C123 D43 E115 F114 G123,44.0,172.0
0020,04.270,tooth,gigi,ngisi,ngisi,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0033,020,304.0,31.0,C122 D42 E114 F113 G122,43.0,173.0
0021,04.230,nose,hidung,enge,enge  +SGA,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0018,014,200.0,27.0,C119 D40 E111 F110 G119,41.0,106.0
0022,04.231,nostril,lubang hidung,lulu nu enge,lulu nu enge,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,,0019,,0.0,0.0,,,
0022a,04.234,wall/side of the nose,cuping hidung,tampa nu enge,tampa nu enge,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,,,,0.0,0.0,,,
0023,04.208,cheek,pipi,palimpi,palimpi -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0021,015,45.0,0.0,,,
0024,04.168,cheekbone,tulang pipi,vuu nu palimping,vuu nu palimping,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,noun,,anggota tubuh,,016,0.0,0.0,,,
0025,04.209,chin,dagu,ngaje,ngaje -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0029,021,49.0,0.0,,,
0026,04.370,"foot, leg",kaki,paa,paa,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0086,038,162.0,4.0,C125 D45 E117 F121 G130,46.0,55.0
0027,04.380,toe,jari kaki,numbung paa,numbung paa p86,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0106,046,321.0,0.0,,,
0028,04.373,sole of the foot,tapak kaki,oyaba,oyaba -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0087,044,275.0,0.0,,,
0029,04.360,knee,lutut,vulang tuu,vulang tuu,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0091,041,154.0,0.0,C126 D46 E118 F122 G131 Sa92,47.0,
0030,04.362,"popliteal space, back of the knee#",(pe)lipatan lutut,pilua,pilua ro-,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,ro-,,,,bodyparts,noun,,anggota tubuh,0092,042*,0.0,0.0,,,
0030a,04.363,knee cap,tempurung lutut,tutubanga,tutubanga -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,,,,0.0,0.0,,,
0031,04.371,"joint (ankle, elbow, wrist)","sendi, pergelangan (kaki, tangan, etc)",oyu,oyu -nya,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,-nya,,,,bodyparts,noun,,anggota tubuh,0088,043*,5.0,0.0,,,
0031a,04.376,ankle,"mata kaki, buku lali",vulali,vulali,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,,,,,,0.0,0.0,,,
0032,04.372,heel,tumit,tadung,tadung,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0089,045,138.0,0.0,,,
0033,04.330,hand,tangan,tonuju,"tonuju  =04.314, pale p21",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,=04.314,,,,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0033,04.330,hand,tangan,pale,"tonuju  =04.314, pale p21",Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0097,027*,132.0,1.0,C127 D47 E119 F119 G128,48.0,65.0
0034,04.331,palm of the hand,tapak tangan,rarong tonuju,rarong tonuju,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0102,028,210.0,0.0,,,
0035,12.541,span (eight inches),jengkal,ninjangani,ninjangani,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,,,,anggota tubuh,,029,279.0,0.0,,,
0036,04.340,finger,jari,numbung,numbung  p30,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0104,030,110.0,0.0,,,
0037,04.342,thumb,ibu jari,numbung oge,numbung oge,Taje,Tanampedagi,120.0116,-0.4904,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0108,031,0.0,0.0,,,
