NUMBER,IDSW,ENGLISH,INDONESIAN,FORM,ORIGINAL_FORM,LANGUAGE,LOCATION,LONGITUDE,LATITUDE,GENDER,RECORDED,MEDIALINK,REGISTER,EXCLUDE,REFERENCE,GRAMMAR_COMMENT,PRONUNCIATION_COMMENT,TRANSLATION_COMMENT,EDITING_COMMENT,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,HOLLE,SIL,REID,BLUST,LIST,SWA100,GUD200
0001,04.110,body,"badan, tubuh",batangan,"batangan, aak (seluruh tubuh)",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0001,04.110,body,"badan, tubuh",aak,"batangan, aak (seluruh tubuh)",Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,(seluruh tubuh),,bodyparts,noun,,anggota tubuh,0001,001,28.0,0.0,,,
0002,04.200,head,kepala,baki,baki  [+k] ['],Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,"[+k]', ""[']",,,bodyparts,noun,,anggota tubuh,0002,002,134.0,24.0,C116 D37 E108 F107 G116,38.0,67.0
0003,04.202,skull,"tengkorak, tempurung kepala  ->08.832",tangguLang,tangguLang,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0005,003,0.0,0.0,,,
0003b,04.207,fontanel,ubun-ubun,tibuan,tibuan [2. tißuan],Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,[2. tißuan],,,,noun,,,,,0.0,0.0,,,
0004,04.203,brain,otak,utok,utok,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0036,004*,32.0,0.0,,,
0005,04.140,"hair (head, not body)",rambut  ->04.144,buok,buok,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006,005,131.0,26.0,C109 D36 E106 F105 G114,37.0,64.0
0005a,04.141,"gray hair (head, not body)",uban,uban  93.5,uban  93.5,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0006a,,0.0,0.0,Z,,
0005b,04.145,curly hair,"rambut keriting, ikal",kolossing,kolossing -um- RDP  ~ 93.24,Totoli,Panasakan,120.817,1.0518,,False,,,False,nan,-um- RDP   93.24,,,,bodyparts,noun,,anggota tubuh,,,0.0,0.0,Z4.14R,,
0006,04.205,forehead,dahi,kindong,kindong,Totoli,Panasakan,120.817,1.0518,,True,,,False,nan,,,,,bodyparts,noun,,anggota tubuh,0004,007,119.0,0.0,,,
